Sample Name,Community
REFERE,1
475581,1
475587,1
475597,1
mv11,1
mv109,1
mv118,1
mv137,2
ENGLAN,3
911548,3
mv67,3
mv150,3
SOUTHA,4
mv111,4
BRAZIL,3
mv149,3
467809,4
677673,4
593553,4
mv139,4
593554,4
mv147,4
593556,4
mv93,4
593557,4
593558,4
631510,4
677683,4
525678,4
631513,4
525684,4
677678,4
677679,4
677680,4
677684,4
677685,4
475582,4
475594,4
477163,4
648267,4
593478,4
631768,4
631769,4
631770,4
631774,4
631778,4
436946,5
444996,4
475670,4
475673,4
475674,6
475676,4
475678,4
475679,4
475687,4
525677,4
525681,4
631724,4
631728,4
631736,4
631762,4
824677,4
475603,4
475606,4
475614,4
475619,4
475625,4
475639,4
475643,4
475644,4
475646,4
475661,4
475693,4
516779,3
525638,4
525641,4
525647,4
525654,4
525658,7
525659,4
631755,4
631757,4
444022,4
583426,4
631615,4
631628,4
475706,4
475707,4
475714,4
583459,4
583467,4
940928,4
mv1,1
mv2,4
mv12,4
mv34,6
mv35,4
mv46,4
mv47,4
mv48,4
mv78,4
mv97,4
mv107,4
677681,7
677682,7
475590,7
475631,4
940925,4
mv144,4
677687,3
525639,3
677688,7
900691,13
mv24,13
900692,6
900693,9
mv25,9
900694,5
900715,5
463295,5
900695,9
900696,9
mv104,9
900698,9
900701,9
900724,9
900736,9
900711,9
mv26,9
mv41,9
942007,10
942009,10
942008,10
940960,10
940974,10
942010,10
940978,10
940987,10
940990,10
940948,10
940954,10
940963,10
940980,10
940982,10
mv3,10
mv36,10
475574,1
mv106,1
475575,3
mv108,3
475576,6
475713,6
475577,1
mv37,1
475578,4
475580,6
475583,3
940900,3
475584,1
mv120,1
475585,11
475677,11
475684,11
475689,11
525680,11
475618,11
475624,11
475626,11
475627,11
475629,11
475697,11
529036,11
475703,11
475716,11
940923,11
mv135,11
mv148,11
475586,2
mv58,2
475588,4
475589,11
631813,7
631772,7
631777,7
525686,7
475605,7
631761,7
mv145,7
475591,4
475592,1
mv115,1
475593,1
mv42,1
475616,4
mv100,4
475595,1
475598,4
475599,6
631808,2
445084,2
631815,4
648265,1
mv9,1
648270,1
475633,1
824555,0
mv13,0
824556,13
824557,1
mv126,1
824558,0
mv20,0
824559,9
824560,3
mv146,3
824561,13
mv68,13
824562,0
824563,9
mv81,9
824564,9
mv59,9
824565,9
mv44,9
824566,14
mv56,14
824567,13
824662,13
mv95,13
824568,11
824569,12
mv16,12
824570,3
824571,3
824572,14
824573,0
824574,12
mv102,12
824575,9
mv98,9
824576,14
mv49,14
824577,0
824578,3
824579,0
824580,0
mv19,0
824581,13
mv140,13
824582,0
mv27,0
824583,0
824584,3
mv124,3
824585,13
824586,9
824587,9
824588,0
824589,9
mv71,9
824590,3
824591,0
824592,13
824593,9
mv53,9
824594,3
mv125,3
824595,0
mv21,0
824596,1
824597,0
824598,12
mv112,12
824599,0
900700,3
900702,5
mv15,5
900707,9
900709,9
900710,12
900722,12
900712,13
900726,13
900713,13
mv31,13
900717,12
900721,13
mv54,13
900723,5
436944,5
900725,1
mv103,1
900730,9
900731,5
900734,5
900733,13
900741,5
918496,0
631767,3
mv4,3
631773,1
631829,4
mv8,4
754183,9
mv62,9
900714,13
937187,4
937195,12
mv132,12
937196,11
937199,3
883392,3
940756,8
940910,8
412970,2
mv5,2
436939,5
436942,12
mv6,12
436943,5
436945,5
463279,5
463290,5
501174,5
436957,5
436958,5
463283,5
463284,5
463289,5
463294,5
475600,5
516776,5
445078,5
445083,5
501173,5
436948,5
436950,12
436952,12
463286,12
436953,12
444994,2
437433,2
444995,4
463280,12
mv17,12
463282,12
463285,12
mv7,12
463288,12
463299,12
463287,12
463291,12
516755,5
mv29,5
475664,2
475665,4
475666,1
475667,6
475671,3
475632,3
475672,4
475683,6
475609,6
475617,6
475642,6
475652,6
475656,6
475658,6
475662,6
475694,6
475695,6
475675,3
475680,3
475682,13
475650,6
475686,2
mv72,2
475688,4
525683,1
525685,3
mv61,4
631732,3
824609,4
824685,4
940903,4
539495,4
824600,9
824601,9
824602,0
824603,0
824604,1
mv84,1
824605,13
mv133,13
824606,9
mv136,9
824607,13
mv138,13
824608,14
mv90,14
824610,0
824635,0
mv23,0
824611,9
824612,0
824613,0
mv22,0
824614,1
824615,0
824616,14
mv38,14
824618,0
824619,0
824620,14
mv57,14
824621,0
824622,0
mv66,0
824624,13
mv129,13
824625,9
mv142,9
824626,13
mv92,13
824627,13
824675,13
824628,13
824630,9
824631,0
824632,0
mv60,0
824634,0
824636,13
824637,13
824638,0
824639,14
824640,0
mv65,0
824641,13
824642,14
824643,1
824644,13
824723,13
824645,0
824646,11
824648,14
824649,0
mv14,0
824650,0
824651,9
516771,9
824652,13
mv128,13
824653,0
mv43,0
824654,0
824655,0
824656,1
824658,13
824659,13
824660,0
mv40,0
824661,13
mv143,13
824663,3
824664,9
mv113,9
824665,13
824666,13
mv73,13
824667,14
824668,14
mv87,14
824669,9
824724,9
mv91,9
824670,1
mv121,1
824671,0
mv51,0
824672,0
824692,0
824673,13
mv89,13
824674,14
824676,14
824678,14
824679,9
824680,0
824681,4
824682,9
824684,9
824688,0
883400,13
940993,13
883325,3
940904,3
475651,3
475663,3
516762,3
445080,3
583441,3
940949,3
mv32,8
mv79,3
mv99,3
mv114,3
mv116,3
940902,10
940918,10
940906,5
940958,5
940911,8
940932,8
mv18,8
940913,1
mv69,1
940899,10
940919,8
mv39,8
983870,13
475601,3
475607,2
475610,2
mv134,2
475612,2
475613,2
475615,4
mv50,4
475620,4
475623,4
475628,4
475630,2
mv82,2
824727,3
475700,3
475690,1
501169,1
501171,1
mv55,1
475634,3
475705,4
mv117,4
475645,2
475649,1
475654,2
475691,3
mv10,3
475696,1
516753,7
940935,7
516765,3
516766,3
516767,3
516777,3
824698,9
857057,9
824721,9
516773,12
516774,8
525621,2
583464,2
525627,1
883350,3
525640,4
525646,4
525648,4
525650,1
824686,0
824687,9
824689,9
824690,13
mv127,13
824691,11
mv123,11
824693,1
mv119,1
824694,1
824695,0
824696,11
824697,9
824699,9
mv105,9
857058,4
857059,4
mv85,4
857061,4
883328,4
883345,4
883351,3
mv63,3
883352,3
883353,3
883391,3
mv76,3
mv75,3
883394,3
883398,13
mv80,13
883402,13
883404,12
883405,13
883407,1
mv122,1
937240,3
937245,3
937253,3
937255,4
940895,5
940896,8
940897,3
940898,3
940922,3
mv28,3
943550,3
966310,3
966313,9
824700,0
mv33,0
824701,9
824702,9
824703,9
824704,0
824705,0
824706,13
824707,0
824709,0
824710,0
824711,14
mv83,14
824712,9
824713,0
824714,9
824715,13
824716,9
824717,13
824718,3
824719,1
824720,14
824722,0
mv70,0
824738,13
mv130,13
824725,13
mv141,13
824726,9
824728,3
824729,13
824730,0
824734,0
824731,14
824732,0
824733,0
824736,9
824737,9
824740,3
824741,9
mv77,9
436959,12
501172,5
445082,2
501167,2
475701,1
475704,2
475708,2
mv52,2
475709,4
475712,1
475715,4
583454,7
940975,5
mv30,5
940976,10
940977,10
940988,10
940979,10
940973,10
940986,8
mv45,8
940989,10
940994,10
940940,10
940942,10
940991,3
940959,3
940939,10
583434,4
583479,4
940921,8
940924,3
940927,12
940929,8
940930,5
940931,5
940933,8
940934,3
940936,10
940938,10
940937,7
940946,7
940947,7
940945,10
940950,5
940952,3
940953,13
940956,8
940962,5
940965,5
940964,13
940985,5
940966,5
940969,13
940970,13
940981,10
966285,9
mv96,12
mv64,0
mv86,14
mv88,13
mv101,14
mv94,13
mv74,3
mv110,1
mv131,13
